bin_left,bin_right,count
5.000000000000001,6.93870792875805,301
6.93870792875805,9.629133544121965,1742
9.629133544121965,13.362749053933829,2392
13.362749053933829,18.544042562106956,2300
18.544042562106956,25.73433903138365,2132
25.73433903138365,35.71261245568189,1961
35.71261245568189,49.559877440580685,1802
49.559877440580685,68.77630290904688,1598
68.77630290904688,95.44373566113376,1551
95.44373566113376,132.45124107643923,1323
132.45124107643923,183.80809532618653,1193
183.80809532618653,255.07813768194515,1048
255.07813768194515,353.98253927731,1037
353.98253927731,491.23629038507573,801
491.23629038507573,681.7090285977232,716
681.7090285977232,946.0359683673939,691
946.0359683673939,1312.853454920227,517
1312.853454920227,1821.9013353904754,449
1821.9013353904754,2528.328248257754,374
2528.328248257754,3508.666252537805,295
3508.666252537805,4869.122069169972,250
4869.122069169972,6757.083181488096,192
6757.083181488096,9377.085329333822,176
9377.085329333822,13012.971264657876,143
13012.971264657876,18058.64137815645,127
18058.64137815645,25060.72762264247,88
25060.72762264247,34777.81389113503,79
34777.81389113503,48262.618598258094,77
48262.618598258094,66976.04286607182,62
66976.04286607182,92945.4399343303,61
92945.4399343303,128984.25220284853,44
128984.25220284853,178996.8106889666,27
178996.8106889666,248401.31790998718,32
248401.31790998718,344716.83881919534,19
344716.83881919534,478377.89253823226,13
478377.89253823226,663864.8951795195,7
663864.8951795195,921272.9223612527,3
921272.9223612527,1278488.7461876245,4
1278488.7461876245,1774212.0000000014,2
