bin_left,bin_right,count
1.0,1.45,2759
1.45,1.9,1654
1.9,2.35,3196
2.35,2.8,3814
2.8,3.25,7848
3.25,3.7,8735
3.7,4.15,15201
4.15,4.6,18135
4.6,5.05,33557
5.05,5.5,38840
5.5,5.95,67727
5.95,6.4,77943
6.4,6.8500000000000005,125633
6.8500000000000005,7.3,123561
7.3,7.75,167883
7.75,8.2,119047
8.2,8.65,99526
8.65,9.1,44588
9.1,9.55,27491
9.55,10.0,12862
